[I 241203 04:43:03 smartapi:165] on open
[I 241203 04:43:25 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3964782, 'exchange_timestamp': 1733201005000, 'last_traded_price': 2434400, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:26 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3965104, 'exchange_timestamp': 1733201006000, 'last_traded_price': 2434390, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:26 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3965594, 'exchange_timestamp': 1733201006000, 'last_traded_price': 2434365, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:27 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3965898, 'exchange_timestamp': 1733201007000, 'last_traded_price': 2434405, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:27 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3966367, 'exchange_timestamp': 1733201007000, 'last_traded_price': 2434410, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:28 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3966694, 'exchange_timestamp': 1733201008000, 'last_traded_price': 2434355, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:28 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3967161, 'exchange_timestamp': 1733201008000, 'last_traded_price': 2434445, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:29 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3967459, 'exchange_timestamp': 1733201009000, 'last_traded_price': 2434385, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:29 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3967943, 'exchange_timestamp': 1733201009000, 'last_traded_price': 2434350, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:30 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3968252, 'exchange_timestamp': 1733201010000, 'last_traded_price': 2434330, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:30 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3968799, 'exchange_timestamp': 1733201010000, 'last_traded_price': 2434360, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:31 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3969143, 'exchange_timestamp': 1733201011000, 'last_traded_price': 2434370, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:32 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3969933, 'exchange_timestamp': 1733201012000, 'last_traded_price': 2434405, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:32 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3970413, 'exchange_timestamp': 1733201012000, 'last_traded_price': 2434450, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:33 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3970734, 'exchange_timestamp': 1733201013000, 'last_traded_price': 2434460, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:33 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3971210, 'exchange_timestamp': 1733201013000, 'last_traded_price': 2434395, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:34 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3971497, 'exchange_timestamp': 1733201014000, 'last_traded_price': 2434445, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:34 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3971949, 'exchange_timestamp': 1733201014000, 'last_traded_price': 2434395, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:35 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3972254, 'exchange_timestamp': 1733201015000, 'last_traded_price': 2434510, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:35 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3972779, 'exchange_timestamp': 1733201015000, 'last_traded_price': 2434460, 'subscription_mode_val': 'LTP'}
